ID_REF,DATA,TIPO,CATEGORIA,CONTEUDO,RACIONAL,STATUS,AGENTE_RESPONSAVEL,LINK
DEC-001,2026-05-27,DEC,Arquivamento,Manifesto EOL V1.0 arquivado. Essencia do racional migrada para a Memória Viva.,Sistemas ri­gidos devem ser substitui­dos por fluidez. A transição para V2.1 exige desapego da rigidez V1.,Arquivado,Presidência,00_AREA_TRANSITORIA
DEC-002,2026-05-27,DEC,Estrutura,Substituição de termos EOL por Núcleos EU+. Terminologia alinhada a Constituição V2.1.,Simplificação gera fluidez para os agentes. Unificação da identidade visual e lógica do ecossistema.,Concluido,Presidência,00_AREA_TRANSITORIA
DEC-003,2026-05-27,DEC,Governança,Institucionalização do Sistema de Governança Institucional EU+ V1.0 como Nivel 2 da hierarquia documental.,Alinhamento total com a nova Constituição. Substituição de termos EOL e ajuste de fluxo.,Concluido,Presidência,00_AREA_TRANSITORIA
DEC-004,2026-05-27,DEC,Estrutura,Definição da Hierarquia Documental de 5 Niveis oficiais do Grupo EU+.,Ordem clara evita conflitos em sistemas fluidos. Proteção da Constituição como norma soberana.,Concluido,Presidência,00_AREA_TRANSITORIA
DEC-005,2026-05-27,DEC,Papéis,Formalização dos papéis institucionais: Presidência Curador Redator Revisor Normativo e Guardião.,Garantir continuidade técnica na escrita oficial e na preservação da coerência documental.,Concluido,Presidência,00_AREA_TRANSITORIA
DEC-006,2026-05-27,DEC,Estrutura,Neutralização de referências a agentes especi­ficos nos documentos de governança para evitar obsolescencia.,Evitar obsolescência por troca de ferramentas. Papeis institucionais transcendem a LLM utilizada.,Concluido,Presidência,00_AREA_TRANSITORIA
DEC-007,2026-05-27,DEC,Hierarquia,Projeto-Mãe EU+ V1.0 classificado como documento de Nível 3 da hierarquia documental.,Alinhamento com o Sistema de Governança V1.0. Estabelece matriz de visão do ecossistema.,Concluido,Presidência,00_AREA_TRANSITORIA
DEC-008,2026-05-27,DEC,Estrutura,"Definição das 4 camadas do ecossistema EU+: Presidência, Núcleo de Diretoria, Núcleo de Gerência e Núcleo de Execução.",Criar visão clara de organização institucional. Separação de responsabilidades por camada.,Concluido,Presidência,00_AREA_TRANSITORIA
DEC-EOL-001,2026-05-24,DEC,Arquitetura,Sistema EU+ não produto externo. É infraestrutura interna do Grupo EU+.,Grupo EU+ é o case zero. Quando maduro o empacotamento externo será natural com evidência real.,Aprovado,Presidência,
DEC-EOL-002,2026-05-24,DEC,Arquitetura,Estrutura de arquivos não usa abas. Cada núcleo é um arquivo independente.,Abas corrompem a leitura pelos agentes. Arquivos independentes garantem leitura limpa.,Aprovado,Presidência,
DEC-EOL-003,2026-05-24,DEC,Arquitetura,"Base EU+ composta por núcleos independentes: 00_AREA_TRANSITORIA, 01_MEMORIA_VIVA, 02_PATRIMONIO_INTELECTUAL e 03_MAPA_DE_INTELIGENCIAS.",Simplificação da estrutura anterior para viabilizar replicação e leitura por agentes externos.,Aprovado,Presidência,
DEC-EOL-004,2026-05-24,DEC,Produto,EU+ Vida Profissional é uma ferramenta dentro da frente EU VIDA não a frente completa.,Cada frente pode ter múltiplas ferramentas sobre a mesma plataforma.,Aprovado,Presidência,
DEC-EOL-005,2026-05-24,DEC,Produto,EU+ Negócio terá ferramentas iniciais: Sistema de Inteligência e EU+ Competências Empresariais.,Sistema aplica memória organizacional. Competências Empresariais aplica PDI para empresas.,Aprovado,Presidência,
DEC-EOL-006,2026-05-24,DEC,Governança,P7 não é obrigatório na fase inicial. As frentes surgem sequencialmente por aderência natural.,A primeira frente de excelência abre a plataforma. As demais se encaixam sem custo adicional.,Aprovado,Presidência,
DEC-EOL-007,2026-05-24,DEC,Arquitetura,Report consolidado do Maestro substitui necessidade de CSV externo para alimentar LLMs externas.,O report entrega inteligência processada e limpa legíivel por qualquer LLM sem fricção,Aprovado,Presidência,
DEC-EOL-010,2026-05-24,DEC,Técnica,Separador padrão dos arquivos EU+ são ponto e víirgula.,Melhor compatibilidade com agentes. Ponto e víirgula interpretado nativamente.,Aprovado,Presidência,
DEC-EOL-016,2026-05-24,DEC,Hierarquia,Arquitetura hierárquica do Grupo EU+ definida em 4 camadas: Presidência Núcleo de Diretoria Núcleo de Gerência Núcleo de Execução.,Separação evita acúmulo de funções entre camadas. Diretoria pensa. Gerência coordena. Execução realiza.,Aprovado,Presidência,
DEC-EOL-017,2026-05-25,DEC,Governança,Curador Institucional criado como papel normativo entre Diretoria e demais núcleos.,Agente guardião da identidade institucional exige papel próprio com acesso direto aos documentos fundacionais.,Aprovado,Presidência,
DEC-EOL-018,2026-05-25,DEC,Fundacional,Carta de Identidade Institucional EU+ V2.1 homologada pela Presidência.,Estabelece doutrina filosófica permanente separada da infraestrutura operacional.,Aprovado,Presidência,
DEC-EOL-026,2026-05-25,DEC,Arquitetura,Grok substitui Gemini como plataforma principal de execução dos agentes EU+. Gemini permanece para integração com Google Drive.,Gemini apresentou instabilidade recorrente. Grok demonstrou maior confiabilidade na execução anali­tica.,Aprovado,Presidência,
DEC-EOL-027,2026-05-25,DEC,Governança,GROK-DIR-001 Maestro homologado como Orquestrador Principal do ecossistema EU+.,Agente responsável por coordenar rede de inteligências garantir coerência documental e orquestrar delegações.,Aprovado,Presidência,
DEC-EOL-028,2026-05-25,DEC,Arquitetura,GROK-DIR-001 Maestro realocado para o Núcleo de Diretoria como orquestrador.,Função de orquestração auditoria e governança da rede é compati­vel com Diretoria não com Gerência.,Aprovado,Presidência,
DEC-EOL-029,2026-05-25,DEC,Arquitetura,01_MEMORIA_VIVA unifica registros de Decisões e Iniciativas em arquivo único com filtro por TIPO.,Simplicidade máxima. Maestro alimenta automaticamente. Filtro resolve separação quando necessário.,Aprovado,Presidência,
DEC-EOL-030,2026-05-25,DEC,Arquitetura,DQs migradas para 02_PATRIMONIO_INTELECTUAL expandido como repositório de conhecimento.,DQ é conhecimento proprietário — pertence ao repositório de conhecimento não ao registro de decisões.,Aprovado,Presidência,
DEC-EOL-031,2026-05-25,DEC,Arquitetura,02_PATRIMONIO_INTELECTUAL recebe campo TIPO para classificar entradas como TERMO ATIVO METODO DQ ou DOSSIE.,Permite filtro simples e expansão futura sem criar novos arquivos.,Aprovado,Presidência,
PR-001,2026-05-27,PR,Estrutura,Estruturação dos Núcleos EU+ V2.1 A transição de 4 arquivos EOL para arquitetura de 4 núcleos.,Buscando simplificar os processos.,Concluido,Presidência,
PR-002,2026-05-27,PR,Documentação,Emissão da Constituição EU+ V2.1 Final como documento superior e referência-mãe do ecossistema.,Validado e revisado.,Concluido,Presidência,Constituição EU+ V2.1
PR-003,2026-05-27,PR,Documentação,Emissão da Carta de Identidade Institucional V2.1 como expressão normativa e identitária do EU+.,Validado e revisado.,Concluido,Presidência,Carta de Identidade V2.1
PR-004,2026-05-27,PR,Documentação,Emissão do Sistema de Governança Institucional EU+ V1.0 como Nivel 2 da hierarquia documental.,Validado e revisado.,Concluido,Presidência,Sistema de Governança V1.0
PR-005,2026-05-27,PR,Arquitetura,Higienização terminológica para remoção de vesti­gios EOL e substituição por terminologia EU+ V2.1.,Validado e revisado.,Concluido,Presidência,03_MAPA_DE_INTELIGENCIAS
PR-006,2026-05-27,PR,Agentes,Inclusão de Genspark NotebookLM Manus e PixVerse como motores de IA disponi­veis no ecossistema.,Validado e revisado.,Ativo,Presidência,03_MAPA_DE_INTELIGENCIAS
PR-007,2026-05-27,PR,Arquitetura,Desvinculação de funções por LLM para agentes mapeados por performance e alinhamento não por marca.,Validado e revisado.,Concluido,Presidência,03_MAPA_DE_INTELIGENCIAS
PR-008,2026-05-27,PR,Estratégico,Derivação dos desdobramentos operacionais do Projeto-Mãe EU+ V1.0 por frente: institucional comercial conteúdo/legado e inteligência/memória.,Validado e revisado.,Ativo,Presidência,01_MEMORIA_VIVA
PR-009,2026-05-27,PR,Patrimônio,Criação do Dossiê Bruno Vieira V1.0 como memória viva do perfil executivo da Presidência.,Validado e revisado.,Ativo,GROK-DIR-001,GitHub EU+ Master
PR-010,2026-05-27,PR,GitHub,Upload dos núcleos EU+ V2.1 no GitHub para acesso por todas as LLMs do ecossistema.,Validado e revisado.,Concluido,Presidência,GitHub EU+ Master
PR-EOL-001,2026-05-24,PR,Arquitetura,Simplificação da base EOL redução de 12 pastas para 4 arquivos mestres depois para 4 núcleos.,Validado e revisado.,Concluido,GROK-DIR-001,01_MEMORIA_VIVA
PR-EOL-012,2026-05-24,PR,Governança,Revisão e ativação dos prompts V3/V4 de todos os agentes do ecossistema.,Validado e revisado.,Ativo,CLAUDE-BOARD-006,03_MAPA_DE_INTELIGENCIAS
PR-EOL-019,2026-05-25,PR,Reestruturação,Migração dos agentes Gemini para Grok como plataforma principal de execução.,Validado e revisado.,Ativo,GROK-DIR-001,03_MAPA_DE_INTELIGENCIAS
PR-GER-001,2026-05-25,PR,Produto,HTML funcional para sistema operacional gestão de food.,Validado e revisado.,Ativo,AG-GPT-GER-006,A definir