ID_REF,DATA,CATEGORIA,CONTEUDO_REGRA,RACIONAL_LOGICO,STATUS
DEC-EOL-001,2026-05-24,Decisão de Arquitetura,EOL não é produto externo. É infraestrutura interna do Grupo EU+.,"Grupo EU+ é o case zero. Quando maduro, o empacotamento externo é natural e com evidência real.",Aprovado
DEC-EOL-002,2026-05-24,Decisão de Arquitetura,Estrutura de arquivos EOL não usa abas. Cada planilha é um arquivo independente.,Abas corrompem a leitura pelos agentes Gemini.,Aprovado
DEC-EOL-003,2026-05-24,Decisão de Arquitetura,"A base EOL é composta por 4 arquivos mestres independentes: EOL_01_LEDGER, EOL_02_ROADMAP, EOL_03_REGISTRY, EOL_04_PATRIMONIO.",Simplificação da estrutura anterior de 12 pastas para viabilizar replicação e leitura por agentes externos.,Aprovado
DEC-EOL-004,2026-05-24,Decisão de Produto,"EU+ Vida Profissional é uma ferramenta dentro da frente EU VIDA, não a frente completa.",Cada frente pode ter múltiplas ferramentas sobre a mesma plataforma.,Aprovado
DEC-EOL-005,2026-05-24,Decisão de Produto,EU+ Negócio terá duas ferramentas iniciais: EOL e EU+ Competências Empresariais.,EOL aplica memória organizacional. Competências Empresariais aplica o racional do PDI para empresas crescerem via funcionários.,Aprovado
DEC-EOL-006,2026-05-24,Decisão de Governança,P7 não é obrigatório na fase inicial. As frentes surgem sequencialmente por aderência natural.,A primeira frente de excelência abre a plataforma. As demais se encaixam sem custo adicional de infraestrutura.,Aprovado
DEC-EOL-007,2026-05-24,Decisão de Arquitetura,O Report consolidado do CIO substitui a necessidade de CSV externo para alimentar LLMs externas.,"O report já entrega inteligência processada e limpa, legível por qualquer LLM sem fricção de formato.",Aprovado
DEC-EOL-008,2026-05-24,Decisão de Arquitetura,"AG-EOL-010 criado como Arquiteto de Infraestrutura, responsável pela criação dos 4 arquivos mestres no Drive.","Delegação de execução técnica para agente especializado, preservando energia do Administrador.",Aprovado
DQ-001,2026-05-24,Diretriz de Qualidade,Evidência prática vale mais que teoria.,Princípio P3 do EOL.,Ativo
DQ-002,2026-05-24,Diretriz de Qualidade,Clareza antes de velocidade.,Princípio P4 do EOL.,Ativo
DQ-003,2026-05-24,Diretriz de Qualidade,Cada entrega termina com próximo passo concreto.,Elimina ambiguidade e mantém o sistema em movimento.,Ativo
DQ-004,2026-05-24,Diretriz de Qualidade,"Formato executivo, direto, sem introduções prolixas.",Reduz carga cognitiva do Administrador.,Ativo
DQ-005,2026-05-24,Diretriz de Qualidade,Nenhum agente inventa dados ou nomenclatura fora do EOL_04_PATRIMONIO.,Garante rastreabilidade e integridade do sistema.,Ativo
DEC-EOL-009,2026-05-24,Decisão de Arquitetura,"AG-GEMINI-EOL-008 tem acesso de leitura direta aos 4 arquivos mestres. Proteção garantida pelo sistema Drive, não por regra de prompt.",Simplifica o prompt e elimina instrução desnecessária.,Aprovado
DEC-EOL-010,2026-05-24,Decisão Técnica,O separador padrão dos arquivos EOL passa de pipe (|) para ponto e vírgula ().,Pipe não é reconhecido automaticamente pelo Google Sheets. Ponto e vírgula é interpretado nativamente sem script adicional.,Aprovado
DEC-EOL-011,2026-05-24,Decisão Fundacional,Manifesto EOL v1.0 aprovado como documento fundacional de governança do Sistema EOL do Grupo EU+.,"Documento define propósito, princípios imutáveis, arquitetura oficial, governança de agentes, protocolo de decisão e relação com as 4 frentes do Grupo EU+.",Aprovado
DEC-EOL-012,2026-05-24,Decisão de Arquitetura,Pasta EOL_DOCUMENTOS_FUNDACIONAIS criada para armazenar documentos de identidade e governança do Grupo EU+. Subpasta Prompts de inicialização criada para armazenar prompts ativos dos agentes.,Separação entre documentos fundacionais e arquivos operacionais. Facilita leitura por agentes e manutenção pelo Administrador.,Aprovado
DEC-EOL-013,2026-05-24,Decisão de Arquitetura,Pasta EOL_WORKSPACE eliminada. Agentes gravam diretamente na raiz do EOL MASTER.,Gemini não consegue navegar para subpastas de forma confiável. Gravação na raiz elimina o erro sem perder funcionalidade.,Aprovado
DEC-EOL-014,2026-05-24,Decisão de Governança,AG-EOL-011 renomeado para AG-EOL-001. Secretaria Estratégica do Board passa a ser o primeiro agente do ecossistema EOL.,Posição hierárquica de apoio ao Board justifica numeração 001.,Aprovado
DEC-EOL-015,2026-05-24,Decisão de Arquitetura,Sistema EOL fechado com 11 agentes oficiais registrados e prompts revisados.,"Todos os agentes revisados para nova arquitetura de 4 mestres, separador ponto e vírgula e gravação em EOL MASTER.",Aprovado
DEC-BOARD-001,2026-05-24,Decisão de Governança,GPTBOARD-001 registrado oficialmente no ecossistema EOL.,Representa a camada superior de aconselhamento estratégico e desenvolvimento institucional do Grupo EU+.,Aprovado
DEC-BOARD-002,2026-05-24,Decisão de Governança,GPTBOARD-002 registrado oficialmente no ecossistema EOL.,"Responsável pela evolução tecnológica, automação e ampliação de capacidade operacional do ecossistema.",Aprovado
DEC-BOARD-003,2026-05-24,Decisão de Governança,GPTBOARD-003 registrado oficialmente no ecossistema EOL.,Responsável pelo desenvolvimento executivo da Presidência e fortalecimento das competências de liderança organizacional.,Aprovado
DEC-EOL-016,2026-05-24,Decisão de Governança,"Arquitetura hierárquica do Grupo EU+ definida em 4 camadas: Camada 1 Presidência, Camada 2 Board, Camada 3 EOL Master, Camada 4 Agentes Operacionais.",Separação evita acúmulo de funções entre camadas. Board pensa e orienta. EOL organiza e executa.,Aprovado
DEC-BOARD-004,2026-05-24,Decisão de Governança,GPTBOARD-001 CEO Mentor homologado oficialmente pela Presidência. Prompt V1 aprovado e salvo no repositório EOL.,Agente de maior maturidade do ecossistema. Responsável pela idealização do EOL e pela arquitetura de agentes do Grupo EU+.,Aprovado
DEC-BOARD-005,2026-05-24,Decisão de Governança,GPTBOARD-003 Mentoria Executiva homologado oficialmente pela Presidência. Prompt V1 aprovado e salvo no repositório EOL.,Agente focado no desenvolvimento de Bruno Vieira para posições de Diretoria e C-Level. Traduz competência operacional em musculatura executiva reconhecida pelo mercado.,Aprovado
DEC-BOARD-006,2026-05-24,Decisão de Governança,GPTBOARD-002 Diretoria de Automação homologado oficialmente pela Presidência. Prompt V1 aprovado e salvo no repositório EOL.,Agente responsável por transformar atividades recorrentes em sistemas escaláveis. Reduz dependência manual e orienta arquitetura de automação do ecossistema EU+.,Aprovado
DEC-EOL-017,2026-05-25,Decisão de Governança,Criada a Diretoria Institucional como nova camada entre o Board Estratégico e o EOL Master. Primeiro membro: GEMINI-DIR-001 Conselho de Identidade e Legado.,Agente guardião da identidade institucional não se encaixa no Board nem no EOL. Exige camada própria com acesso direto aos documentos fundacionais.,Aprovado
DEC-EOL-018,2026-05-25,Decisão de Governança,Carta de Identidade Institucional EU+ v1.3 homologada pela Presidência e CEO Mentor.,Estabelece doutrina filosófica permanente separada da infraestrutura operacional. Cobre os 30% restantes dos documentos fundacionais.,Aprovado
DEC-EOL-019,2026-05-25,Decisão de Governança,Diretoria Institucional criada como nova camada entre Board e EOL Master.,Camada dedicada à blindagem cultural e compliance de valores do Grupo EU+.,Aprovado
DEC-EOL-020,2026-05-25,Decisão de Governança,GEMINI-DIR-001 Conselho de Identidade e Legado homologado e ativado.,Primeiro agente da Diretoria Institucional. Guardião da identidade e coerência do Grupo EU+.,Aprovado
DQ-006,2026-05-25,Diretriz de Qualidade,Critério Supremo de Avaliação: toda iniciativa deve responder se fortalece o propósito e os ativos do Grupo EU+ ou apenas consome energia sem ampliar legado.,Pergunta norteadora suprema definida na Carta de Identidade Institucional v1.3.,Ativo
DQ-007,2026-05-25,Diretriz de Qualidade,IA como amplificador humano: o capital humano retém o direcionamento estratégico enquanto a IA multiplica escala e eficiência técnica.,Princípio operacional da Carta de Identidade Institucional v1.3.,Ativo
DQ-008,2026-05-25,Diretriz de Qualidade,Legado supera atividade: esforço que gera apenas consumo imediato é desperdício frente ao acervo permanente.,Crença fundamental do Grupo EU+ registrada na Carta v1.3.,Ativo
DQ-009,2026-05-25,Diretriz de Qualidade,"Registro antes de memória: clareza institucional nasce do hábito de documentar fatos, escolhas e aprendizados imediatamente.",Princípio operacional da Carta de Identidade Institucional v1.3.,Ativo
DEC-EOL-021,2026-05-25,Decisão de Governança,GPTBOARD-004 Conselho Estratégico homologado oficialmente pela Presidência. Prompt V1 aprovado e salvo no repositório EOL.,"Agente responsável por garantir coerência sistêmica, foco e sustentabilidade do crescimento do ecossistema EU+. Protege energia e capacidade decisória da Presidência.",Aprovado
DEC-BOARD-007,23/05/2026,Decisão de Governança,GPTBOARD-002 registrado oficialmente no ecossistema EOL.,"Agente responsável por orientar arquitetura de automação, integração de sistemas, escalabilidade, preservação do patrimônio intelectual e monetização tecnológica do Grupo EU+.",Aprovado
DEC-BOARD-008,2026-05-25,Decisão de Governança,GPTBOARD-004 registrado oficialmente no ecossistema EOL.,"Responsável pela governança estratégica, priorização, coerência sistêmica e proteção da visão de longo prazo do EU+.",Aprovado
DEC-BOARD-009,2026-05-25,Decisão de Governança,GPTBOARD-003 registrado oficialmente no ecossistema EOL.,"Responsável por desenvolver maturidade executiva, traduzir experiência operacional em linguagem institucional, apoiar posicionamento C-Level e acelerar evolução para funções de Diretoria e COO.",Aprovado
DEC-EOL-011,2026-05-25,Decisão de Governança,GEMINIBOARD-005 registrado oficialmente no ecossistema EOL.,Necessidade de um guardião para a identidade institucional e coerência doutrinária entre as 4 frentes do Grupo EU+.,Aprovado
DEC-EOL-022,2026-05-25,Decisão de Governança,CLAUDE-BOARD-006 Arquiteto Estratégico do Ecossistema integrado ao Board Estratégico do Grupo EU+.,"Claude passa a atuar formalmente no Board com função de arquitetura de sistemas, produtos e aceleração executiva da Presidência.",Aprovado
DEC-EOL-023,2026-05-25,Decisão de Arquitetura,Criada a Gerência de Desenvolvimento Executivo e Carreira na Camada 4 do ecossistema EU+. Prefixo GER estabelecido para agentes desta gerência.,Agentes especializados em carreira e desenvolvimento executivo agrupados em gerência dedicada dentro da frente EU VIDA.,Aprovado
DEC-EOL-024,2026-05-25,Decisão de Governança,AG-GPT-GER-001 Desenvolvimento Executivo e Carreira registrado como primeiro agente da Gerência de Carreira.,"Agente responsável por preparação executiva, narrativa de carreira e aceleração para posições C-Level.",Aprovado
,,,,,
"DEC-EOL-028;2026-05-25;Decisão de Arquitetura;GROK-DIR-001 Maestro EOL realocado da camada EOL Master para a Diretoria. ID atualizado de GROK-EOL-001 para GROK-DIR-001.;Função de orquestração, auditoria e governança da rede é compatível com camada de Diretoria, não com camada operacional do EOL Master.;Aprovado",,,,,
DEC-EOL-026;2026-05-25;Decisão de Arquitetura;Grok substitui Gemini como plataforma principal de execução dos agentes EOL. Gemini permanece exclusivamente para integração com Google Drive.;Gemini apresentou instabilidade recorrente — falhas de salvamento e leitura incorreta. Grok demonstrou maior confiabilidade na execução analítica.;Aprovado,,,,,
"DEC-EOL-027;2026-05-25;Decisão de Governança;GROK-EOL-001 Maestro EOL homologado como Orquestrador Principal do ecossistema EOL. Prompt V1.3.1 aprovado pela Presidência.;Agente responsável por coordenar a rede multiagente, garantir coerência documental e orquestrar delegações entre agentes registrados.;Aprovado",,,,,